"AUTHORIZATION DECLINED","AUTHORIZATION DECLINED"
"AUTHORIZATION DECLINED Incorrect card parameters","AUTHORIZATION DECLINED Incorrect card parameters"
"AUTHORIZATION DECLINED Insufficient cash","AUTHORIZATION DECLINED Insufficient cash"
"AUTHORIZATION DECLINED Incorrect card validity period","AUTHORIZATION DECLINED Incorrect card validity period"
"AUTHORIZATION DECLINED Card operations limit exceeded","AUTHORIZATION DECLINED Card operations limit exceeded"
"AUTHORIZATION DECLINED Data reception error","AUTHORIZATION DECLINED Data reception error"
"AUTHORIZATION DECLINED Suspicion of fraud","AUTHORIZATION DECLINED Suspicion of fraud"
"AUTHORIZATION DECLINED Operations limit exceeded","AUTHORIZATION DECLINED Operations limit exceeded"
"AUTHORIZATION DECLINED Authorization via 3D-Secure required","AUTHORIZATION DECLINED Authorization via 3D-Secure required"
"REPEAT AUTHORIZATION","REPEAT AUTHORIZATION"
"OPERATION IN PROCESS. WAIT","OPERATION IN PROCESS. WAIT"
"NO PAYMENTS WITH SUCH PARAMETERS EXIST","NO PAYMENTS WITH SUCH PARAMETERS EXIST"
"SYSTEM ERROR. Connect to ASSIST","SYSTEM ERROR. Connect to ASSIST"
"Unrecognized error.","Unrecognized error."
"No order for processing found","No order for processing found"
"Invalid or empty request type.","Invalid or empty request type."
"Order canceled","Order canceled"
"Order paid","Order paid"
"Invalid merchant ID: %s","Invalid merchant ID: %s"
"Wrong Test Mode.","Wrong Test Mode."
"Order not found","Order not found"
"Invalid currency: %s","Invalid currency: %s"
"Invalid amount: %s","Invalid amount: %s"
"Customer payment on ASSIST failed.","Customer payment on ASSIST failed."
"Sorry, your transaction is failed and cannot be processed, please choose another payment method or contact Customer Care to complete your order.","Sorry, your transaction is failed and cannot be processed, please choose another payment method or contact Customer Care to complete your order."
"Order not paid completely","Order not paid completely"
"Order not in session","Order not in session"
"Order canceled","Order canceled"
"You will be redirected to ASSIST in a few seconds.","You will be redirected to ASSIST in a few seconds."
